F_R_NAME,          F_R_BREWER,          F_R_DATE,          F_Equipment_NOTES,          F_Style_name,          F_S_CATEGORY,          F_S_MIN_OG,          F_S_MAX_OG,          F_S_MIN_FG,          F_S_MAX_FG,          F_S_MIN_IBU,          F_S_MAX_IBU,          F_S_MIN_CARB,          F_S_MAX_CARB,          F_S_MIN_ABV,          F_S_MAX_ABV,          F_S_DESCRIPTION,          F_S_INGREDIENTS,          F_S_EXAMPLES,          F_MH_GRAIN_WEIGHT,          F_MH_GRAIN_TEMP,          F_MH_BOIL_TEMP,          F_MH_PH,          F_A_AGE,          F_R_OG_MEASURED,          F_R_FG_MEASURED,          F_R_DESCRIPTION
Brad's Blackberry Mead,          Brad Smith,          2/27/17,          ,          Berry Mead,          Fruit Mead,          1.035,          1.17,          0.99,          1.01,          0,          0,          0,          3,          3.5,          18,          Berries can have seeds but do not have stones/pits; some are aggregates of druplets.  Combinations of berries can be entered here. The culinary not botanical definition of berry is used here. If you have to justify a fruit using the word “technically” as part of the description then that’s not what we mean.  In well-made examples of the style the fruit is both distinctive and well-incorporated into the honeysweet-acid-tannin-alcohol balance of the mead. Different types of fruit can result in widely different characteristics; allow for a variation in the final product.,          Standard description applies. A berry mead is a mead made with the addition of other berries or berry juices including a blend of berries. There should be an appealing blend of the fruit and honey character but not necessarily an even balance.,          Moonlight Blissful Wild Caress and Mischief White Winter Blueberry Raspberry and Strawberry Melomels Celestial Meads Miel Noir Redstone Black Raspberry Nectar Bees Brothers Raspberry Mead Intermiel Honey Wine and Raspberries Honey Wine and Blueberries and Honey Wine and Blackcurrants Mountain Meadows Cranberry Mead,          160,          72,          212,          5.4,          30,          1.154,          1.045,          Amazing - a little on the sweet side but the blackberries and honey both come through and it continues to improve with age.
Brad's Tart Cherry Mead,          Brad Smith,          3/13/17,          ,          Stone Fruit Mead,          Fruit Mead,          1.035,          1.17,          0.99,          1.01,          0,          0,          0,          3,          3.5,          18,          A Stone Fruit Mead is an entry category for melomels made with stone fruit such as cherries plums peaches apricots and mangoes. Stone fruit are fleshy fruit with a single large pit or stone. The culinary not botanical definition of stone fruit is used here. If you have to justify a fruit using the word “technically” as part of the description then that’s not what we mean. Combinations of stone fruit can be entered here.  In well-made examples of the style the fruit is both distinctive and well-incorporated into the honeysweet-acid-tannin-alcohol balance of the mead. Different types of fruit can result in widely different characteristics; allow for a variation in the final product.,          Standard description applies. A stone fruit mead is a mead made with the addition of other stone fruit or stone fruit juices. There should be an appealing blend of the fruit and honey character but not necessarily an even balance. A stone fruit mead can be made with a blend of stone fruits but not other fruit not allowable in this category.,          Mountain Meadows Cherry Mead Moonlight Entice Sumptuous Flirt and Smitten Redstone Sunshine Nectar,          160,          72,          212,          5.4,          30,          1.146,          1.0339074,          2/3 sugar break is 1.071
BeerSmith's Dry Irish Stout,          Brad Smith,          5/14/11,          ,          Dry Stout,          Stout,          1.036,          1.05,          1.007,          1.011,          30,          45,          1.8,          2.5,          4,          5,          A very dark roasty bitter creamy ale. The style evolved from attempts to capitalize on the success of London porters but originally reflected a fuller creamier more “stout” body and strength. When a brewery offered a stout and a porter the stout was always the stronger beer (it was originally called a “Stout Porter”). Modern versions are brewed from a lower OG and no longer reflect a higher strength than porters. This is the draught version of what is otherwise known as Irish stout or Irish dry stout. Bottled versions are typically brewed from a significantly higher OG and may be designated as foreign extra stouts (if sufficiently strong). While most commercial versions rely primarily on roasted barley as the dark grain others use chocolate malt black malt or combinations of the three. The level of bitterness is somewhat variable as is the roasted character and the dryness of the finish; allow for interpretation by brewers.,          The dryness comes from the use of roasted unmalted barley in addition to pale malt moderate to high hop bitterness and good attenuation. Flaked unmalted barley may also be used to add creaminess. A small percentage (perhaps 3%) of soured beer is sometimes added for complexity (generally by Guinness only). Water typically has moderate carbonate hardness although high levels will not give the classic dry finish.,          Guinness Draught Stout (also canned) Murphy's Stout Beamish Stout O’Hara’s Celtic Stout Russian River O.V.L. Stout Three Floyd’s Black Sun Stout Dorothy Goodbody’s Wholesome Stout Orkney Dragonhead Stout Old Dominion Stout Goose Island Dublin Stout Brooklyn Dry Stout,          327.7676606,          71.96,          212,          5.2,          30,          1.039,          1.01,          One of my favorite stock beers - I always keep a keg on hand.  Rich flavored dry Irish Stout that is very simple to make.  Perfect every time!
BeerSmith's Wit,          Brad Smith,          12/11/16,          ,          Witbier,          Belgian and French Ale,          1.044,          1.052,          1.008,          1.012,          10,          20,          2.4,          2.9,          4.5,          5.5,          A refreshing elegant tasty moderatestrength wheat-based ale. A 400-year-old beer style that died out in the 1950s; it was later revived by Pierre Celis at Hoegaarden and has grown steadily in popularity over time. The presence character and degree of spicing and lactic sourness varies. Overly spiced and/or sour beers are not good examples of the style. Coriander of certain origins might give an inappropriate ham or celery character. The beer tends to be fragile and does not age well so younger fresher properly handled examples are most desirable. Most examples seem to be approximately 5% ABV.,          About 50% unmalted wheat (traditionally soft white winter wheat) and 50% pale barley malt (usually Pils malt) constitute the grist. In some versions up to 5-10% raw oats may be used. Spices of freshly-ground coriander and Curaçao or sometimes sweet orange peel complement the sweet aroma and are quite characteristic. Other spices (e.g. chamomile cumin cinnamon Grains of Paradise) may be used for complexity but are much less prominent. Ale yeast prone to the production of mild spicy flavors is very characteristic. In some instances a very limited lactic fermentation or the actual addition of lactic acid is done.,          Hoegaarden Wit St. Bernardus Blanche Celis White Vuuve 5 Brugs Tarwebier (Blanche de Bruges) Wittekerke Allagash White Blanche de Bruxelles Ommegang Witte Avery White Rascal Unibroue Blanche de Chambly Sterkens White Ale Bell’s Winter White Ale Victory Whirlwind Witbier Hitachino Nest White Ale,          383.2901492,          71.96,          212,          5.2,          30,          1.048,          1.01,          Great tasting Wit!  A summer favorite! Lacy white head that lasts and lasts. Distinctive light wheat beer with a hint of spice.
Brad's Great Lakes Porter,          Brad Smith,          12/30/16,          ,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          50,          1.8,          2.5,          4.8,          6.5,          A substantial malty dark ale with a complex and flavorful roasty character. Stronger hoppier and/or roastier version of porter designed as either a historical throwback or an American interpretation of the style. Traditional versions will have a more subtle hop character (often English) while modern versions may be considerably more aggressive. Both types are equally valid. Although a rather broad style open to brewer interpretation it may be distinguished from Stout as lacking a strong roasted barley character. It differs from a brown porter in that a black patent or roasted grain character is usually present and it can be stronger in alcohol. Roast intensity and malt flavors can also vary significantly. May or may not have a strong hop character and may or may not have significant fermentation by-products; thus may seem to have an “American” or “English” character.,          May contain several malts prominently dark roasted malts and grains which often include black patent malt (chocolate malt and/or roasted barley may also be used in some versions). Hops are used for bittering flavor and/or aroma and are frequently UK or US varieties. Water with moderate to high carbonate hardness is typical. Ale yeast can either be clean US versions or characterful English varieties.,          Great Lakes Edmund Fitzgerald Porter Meantime London Porter Anchor Porter Smuttynose Robust Porter Sierra Nevada Porter Deschutes Black Butte Porter Boulevard Bully! Porter Rogue Mocha Porter Avery New World Porter Bell’s Porter Great Divide Saint Bridget’s Porter,          440.9999536,          71.96,          212,          5.2,          28,          1.052,          1.018,          After fermentation beer was smooth - will be good once carbonated.
49th Parallel IPA,          Brad Smith,          1/13/17,          Simple Brew Pot with a 4 Gallon Capacity - leaving a workable boil volume of around 3.25 gal.  Used for extract or partial mash brewing.,          English IPA,          Pale Commonwealth Beer,          1.05,          1.075,          1.01,          1.018,          40,          60,          2,          2.8,          5,          7.5,          A hoppy moderately-strong very well-attenuated pale British ale with a dry finish and a hoppy aroma and flavor. Classic British ingredients provide the best flavor profile.  History: Accounts of its origins vary but most agree that what became later known as IPA was pale ale prepared for shipment to India in the late 1700s and early 1800s. George Hodgson of the Bow Brewery became well-known as an exporter of IPA during the early 1800s and is the first name frequently mentioned with its popularity. As with all English beers with a long history the popularity and formulation of the product changed over time. Burton breweries with their high-sulfate water were able to successfully brew IPA and began their domination of this market by the 1830s around the time the name India Pale Ale was first used. Strength and popularity declined over time and the style virtually disappeared in the second half of the 20th century. The name was often used to describe pale ales and bitters not anything special (a trend that continues in some modern British examples). The style underwent a craft beer rediscovery in the 1980s and is what is described in these guidelines. Modern examples are inspired by classic versions but shouldn’t be assumed to have an unbroken lineage with the exact same profile. White Shield is probably the example with the longest lineage tracing to the strong Burton IPAs of old and first brewed in 1829. Style Comparison: Generally will have more finish hops and less fruitiness and/or caramel than British pale ales and bitters. Has less hop intensity and a more pronounced malt flavor than typical American versions.,          Pale ale malt. English hops are traditional particularly as finishing hops. Attenuative British ale yeast. Refined sugar may be used in some versions. Some versions may show a sulfate character from Burton-type water but this is not essential to the style.,          Freeminer Trafalgar IPA Fuller's Bengal Lancer IPA Meantime India Pale Ale Ridgeway IPA Summit True Brit IPA Thornbridge Jaipur Worthington White Shield,          160,          72,          212,          5.4,          30,          1.053,          1.012,          #NAME?
49th Parallel Irish Red Ale,          Brad Smith,          12/8/16,          Simple Brew Pot with a 4 Gallon Capacity - leaving a workable boil volume of around 3.25 gal.  Used for extract or partial mash brewing.,          Irish Red Ale,          Irish Beer,          1.036,          1.046,          1.01,          1.014,          18,          28,          2.4,          2.8,          3.8,          5,          An easy-drinking pint often with subtle flavors. Slightly malty in the balance sometimes with an initial soft toffee/caramel sweetness a slightly grainy-biscuity palate and a touch of roasted dryness in the finish. Some versions can emphasize the caramel and sweetness more while others will favor the grainy palate and roasted dryness. History: While Ireland has a long ale brewing heritage the modern Irish Red Ale style is essentially an adaptation or interpretation of the popular English Bitter style with less hopping and a bit of roast to add color and dryness. Rediscovered as a craft beer style in Ireland today it is an essential part of most brewery lineups along with a pale ale and a stout. Style Comparison: A less-bitter and hoppy Irish equivalent to an English Bitter with a dryish finish due to roasted barley. More attenuated with less caramel flavor and body than equivalent-strength Scottish ales.,          Generally has a bit of roasted barley or black malt to provide reddish color and dry roasted finish. Pale base malt. Caramel malts were historically imported and more expensive so not all brewers would use them.,          Caffrey’s Irish Ale Franciscan Well Rebel Red Kilkenny Irish Beer O’Hara’s Irish Red Ale Porterhouse Red Ale Samuel Adams Irish Red Smithwick’s Irish Ale,          160,          72,          212,          5.4,          30,          1.046,          1.01,          
Brad's Cider,          Brad Smith,          2/4/17,          ,          New World Cider,          Standard Cider and Perry,          1.045,          1.065,          0.995,          1.02,          0,          0,          0,          3,          5,          8,          A New World Cider is made from culinary/table apples with wild or crab apples often used for acidity/tannin balance. Compared to other styles in this category these ciders are generally relatively lower in tannin and higher in acidity. “New World” references the style not a location as ciders in this style are also made in eastern England Australia Germany etc.  A refreshing drink of some substance – not bland or watery. Sweet ciders must not be cloying. Dry ciders must not be too austere.,          Varieties: Common (Winesap Macintosh Golden Delicious Braeburn Jonathan) multi-use (Northern Spy Russets Baldwin) crabapples any suitable wildings.,          Uncle John’s Fruit House Winery Apple Hard Cider Tandem Ciders Pretty Penny (MI) Bellwether Spyglass (NY) West County Pippin (MA) White Winter Hard Apple Cider (WI) Wandering Aengus Ciderworks Bloom (OR) Æppeltreow Appely Brut and Doux (WI).,          160,          72,          212,          5.4,          30,          1.057,          0.9969226,          - Very enjoyable cider - backsweetening makes it very easy to drink and guests are drinking it fast!
Eclipse Merlot Kit,          Brad Smith,          2/11/17,          ,          Merlot,          Major Red Varietals,          1.07,          1.11,          0.992,          0.998,          0,          0,          0,          1,          9.8,          14.2,          Merlot is the second most popular red grape in America.  It is a medium-bodied red wine known for being an easy drinking red that goes well both with food as well as its own.,          Although well known fermented and bottled in its own style the Merlot grape is widely used as a blending varietal specifically in Bordeaux Blends.,          Emmolo Merlot Whitehall Lane Merlot Mayacamas Merlot Robert Mondavi Napa Merlot,          160,          72,          212,          5.4,          30,          1.097,          0.999,          - One of my favorite red kits so far - premium quality and it came out relatively clean early on.  Gets better with age - I will make this one again!
RJS Chardonnay Kit,          Brad Smith,          1/29/17,          ,          Chardonnay,          Major White Varietals,          1.07,          1.11,          0.992,          0.998,          0,          0,          0,          1,          9.8,          14.2,          Chardonnay is the world's most popular grape for producing white wine.  It is one of the easiest grapes to grow as it can adapt and ripen in almost any type of terroir. It is easy for winemakers to influence the final product so there is a wide variety of stylisitic differences possible with this  grape.,          Most of the time Chardonnay grapes are used to make 100% Chardonnay wines.  However because of its versatility it can occasionally be used as a blending grape. May be heavily oaked to unoaked depending on preference.,          Clos du Bois Chardonnay Kendall-Jackson Chardonnay Robert Mondavi Chardonnay Drouhin Chardonnay Laforet,          160,          72,          212,          5.4,          30,          1.109,          0.997,          - Very nice clean Chardonnay with good body.  Went quickly though I'm sure it would have been better as it aged.  I'm ordering another batch!
